id,userId,method,passageId,score,timeSpent,answers,annotations,timestamp
2TRxCPvunxWRm44F519L,"7q0l6V8sQsXEDFXS2G62ivNjhJ92","contextuality","2","85.71428571428571","402.24","{""0"":""developing"",""1"":""expertise"",""2"":""updates"",""3"":""system"",""4"":""experts"",""5"":""informed"",""6"":""tools""}","{""0"":""source"",""1"":""source"",""2"":""source"",""3"":""source"",""4"":""sentence"",""5"":""sentence"",""6"":""source""}","{""_seconds"":1744063736,""_nanoseconds"":219000000}"
7J4WG4xpsBi7QULX0cF2,"URQPXL01SaZBO7pEFvcNUG4CVGv2","contextuality_plus","12","60","554.532","{""0"":""explain"",""1"":""observation"",""2"":""come"",""3"":""surveys"",""4"":""relationships"",""5"":""researchers"",""6"":""understanding"",""7"":""inflammation"",""8"":"""",""9"":""world""}","{""0"":""source"",""1"":""source"",""2"":""sentence"",""3"":""source"",""4"":""source"",""5"":""source"",""6"":""source"",""7"":""source"",""8"":""unpredictable"",""9"":""source""}","{""_seconds"":1744526215,""_nanoseconds"":549000000}"
89YXHGCy4k9OBYd9YraG,"kng9dJVco4NXsFjrySxx8U6gTbw1","A","1","0","19.657","{""0"":""beliefs"",""1"":""belief"",""2"":""debunked"",""3"":""confessions"",""4"":""calorie"",""5"":""skepticism"",""6"":""challenge"",""7"":""unanswered""}","{""0"":""sentence"",""1"":""passage"",""2"":""passage"",""3"":""passage"",""4"":""sentence"",""5"":""passage"",""6"":""source"",""7"":""passage""}","{""_seconds"":1744058415,""_nanoseconds"":795000000}"
DZ2Gzl4WIQBZCtJylgVS,"URQPXL01SaZBO7pEFvcNUG4CVGv2","contextuality","4","90","398.529","{""0"":""features"",""1"":""involves"",""2"":""stereotypes"",""3"":""questions"",""4"":""answered"",""5"":""progress"",""6"":""like"",""7"":""lead"",""8"":""highlights"",""9"":""inquiry""}","{""0"":""unpredictable"",""1"":""source"",""2"":""source"",""3"":""passage"",""4"":""sentence"",""5"":""source"",""6"":""sentence"",""7"":""sentence"",""8"":""sentence"",""9"":""source""}","{""_seconds"":1744526624,""_nanoseconds"":649000000}"
HljkNhjLIz1E1gkI2CMi,"nskv3OAN29PY7QPTPnDOrQmhWlq1","contextuality_plus","3","0","21.064","{""0"":""achieved"",""1"":""researchers"",""2"":""conceptualizing"",""3"":""exploring"",""4"":""involves"",""5"":""uncertain"",""6"":""implications"",""7"":""tried"",""8"":""continuity""}","{""0"":""sentence"",""1"":""passage"",""2"":""passage"",""3"":""source"",""4"":""passage"",""5"":""passage"",""6"":""sentence"",""7"":""passage"",""8"":""unpredictable""}","{""_seconds"":1744054665,""_nanoseconds"":778000000}"
IZaLOD98axsnLPCCukcM,"kng9dJVco4NXsFjrySxx8U6gTbw1","keyword","3","0","26.316","{""0"":""articles"",""1"":""feasibility"",""2"":""feasibility"",""3"":""questions"",""4"":""questions"",""5"":""research"",""6"":""research""}","{""0"":""sentence"",""1"":""source"",""2"":""passage"",""3"":""unpredictable"",""4"":""sentence"",""5"":""sentence"",""6"":""passage""}","{""_seconds"":1744058447,""_nanoseconds"":719000000}"
KQuP9OPlq7n9DdjXxD7n,"nskv3OAN29PY7QPTPnDOrQmhWlq1","A","1","0","52.451","{""0"":""beliefs"",""1"":""belief"",""2"":""debunked"",""3"":""confessions"",""4"":""calorie"",""5"":""skepticism"",""6"":""challenge"",""7"":""unanswered""}","{""0"":""sentence"",""1"":""source"",""2"":""source"",""3"":""sentence"",""4"":""passage"",""5"":""source"",""6"":""passage"",""7"":""passage""}","{""_seconds"":1744053597,""_nanoseconds"":573000000}"
Qfa5CnnldR0PK2AokHGz,"tAy6ot2t86WuLZPmZawOUt3hrBs1","C","11","0","21.024","{""0"":""specific"",""1"":""fundamentals"",""2"":""document"",""3"":""CRO"",""4"":""CRO"",""5"":""training"",""6"":""training""}","{""0"":""sentence"",""1"":""source"",""2"":""sentence"",""3"":""passage"",""4"":""unpredictable"",""5"":""source"",""6"":""passage""}","{""_seconds"":1744035623,""_nanoseconds"":960000000}"
ULdGcFTP9GPNPzJaS1LZ,"5fZAVg6fxcgGvK8DrPVRkYu3sMI2","A","1","0","15.095","{""0"":""beliefs"",""1"":""belief"",""2"":""debunked"",""3"":""confessions"",""4"":""calorie"",""5"":""skepticism"",""6"":""challenge"",""7"":""unanswered""}","{""0"":""sentence"",""1"":""sentence"",""2"":""passage"",""3"":""source"",""4"":""passage"",""5"":""unpredictable"",""6"":""passage"",""7"":""sentence""}","{""_seconds"":1743992012,""_nanoseconds"":874000000}"
jQWUsUXWjAn29P07xCEx,"5fZAVg6fxcgGvK8DrPVRkYu3sMI2","B","6","0","17.311","{""0"":""quantitative"",""1"":""chosen"",""2"":""abstract"",""3"":""entities"",""4"":""determine"",""5"":""convenience"",""6"":""determine"",""7"":""studies"",""8"":""experiments"",""9"":""conclusions""}","{""0"":""passage"",""1"":""source"",""2"":""unpredictable"",""3"":""passage"",""4"":""sentence"",""5"":""sentence"",""6"":""unpredictable"",""7"":""sentence"",""8"":""source"",""9"":""passage""}","{""_seconds"":1743992035,""_nanoseconds"":145000000}"
